timestamp,lr,patience,struct_3d,seed,fold,val_loss_final,train_loss_final,stopped_epoch
,,,,
2026-04-21T14:32:52,0.005,35,True,,1,3.594263087851661,3.119407431994166,44
2026-04-21T14:32:52,0.005,35,True,,2,2.604397481679917,2.559138949854033,195
2026-04-21T14:32:52,0.005,35,True,,3,4.680145362871033,2.865572366118431,64
2026-04-21T14:32:52,0.005,35,True,,4,3.7238788178988864,2.725855413505009,88
2026-04-21T14:32:52,0.005,35,True,,5,5.901543034826006,2.3291498139500617,59
,,,,
2026-04-21T14:35:25,0.005,35,True,,1,4.252326679229736,2.704436149980341,110
2026-04-21T14:35:25,0.005,35,True,,2,4.4803368159702845,3.1005304894277024,62
2026-04-21T14:35:25,0.005,35,True,,3,3.4798468419483726,2.4483397100652966,147
2026-04-21T14:35:25,0.005,35,True,,4,3.3480629950761793,3.1368933330689157,41
2026-04-21T14:35:25,0.005,35,True,,5,5.443263967548098,2.5231574111751147,58
,,,,
2026-04-21T14:37:58,0.005,35,True,,1,3.9173329464026865,2.56316185731973,103
2026-04-21T14:37:58,0.005,35,True,,2,4.216095352172852,2.684125319336142,92
2026-04-21T14:37:58,0.005,35,True,,3,6.059238868951797,2.7340624217476166,44
2026-04-21T14:37:58,0.005,35,True,,4,3.4697749076145037,3.430232675586428,37
2026-04-21T14:37:58,0.005,35,True,,5,5.922222770963396,2.608257625358445,56
,,,,
2026-04-21T14:40:23,0.005,35,True,,1,3.536098418916975,3.162040016055107,36
2026-04-21T14:40:23,0.005,35,True,,2,5.341780144827707,2.4513798060161722,113
2026-04-21T14:40:23,0.005,35,True,,3,4.308765202760696,2.920133022964001,45
2026-04-21T14:40:23,0.005,35,True,,4,3.0909927310688152,3.298059418797493,56
2026-04-21T14:40:23,0.005,35,True,,5,5.072826515776771,2.6659186452627184,55
,,,,
2026-04-21T14:52:13,0.005,35,True,,1,3.398765862839563,2.972436156443187,113
2026-04-21T14:52:13,0.005,35,True,,2,5.813232227734156,2.625858205982617,67
2026-04-21T14:52:13,0.005,35,True,,3,3.8425392525536672,2.687952443105834,100
2026-04-21T14:52:13,0.005,35,True,,4,4.224067794425147,2.770841189154557,92
2026-04-21T14:52:13,0.005,35,True,,5,3.8013643628784584,3.1667011167321886,36
