prediction,target
-1.0598196983337402,5.29
3.1383509635925293,10.04
8.308145523071289,-0.51
2.666301727294922,2.09
6.789114475250244,3.54
9.660083770751953,9.77
-3.0467734336853027,-1.36
-1.172861099243164,-1.43
1.6651313304901123,3.48
2.492877721786499,-0.64
3.9228358268737793,2.03
7.024275779724121,2.35
7.984137058258057,7.04
8.732925415039062,12.16
5.948974132537842,10.76
10.399885177612305,13.18
12.115317344665527,13.64
-1.102336049079895,-1.4
12.374364852905273,1.49
2.1662673950195312,2.16
-2.6574923992156982,-2.68
11.633025169372559,12.7
1.6028350591659546,0.72
-0.9531908631324768,1.28
0.7786193490028381,14.65
3.010850429534912,3.1
6.045918941497803,3.47
0.01765817403793335,8.85
11.54771900177002,14.88
2.1706924438476562,8.12
2.4366588592529297,-1.04
1.886460542678833,2.47
3.3256936073303223,8.34
5.420069217681885,0.61
0.7132936716079712,0.84
0.033625613898038864,-0.66
-2.405694007873535,-1.96
7.66269063949585,11.12
2.3649892807006836,1.24
-0.9857137203216553,4.05
4.728941917419434,0.41
1.3885000944137573,-1.16
-1.649708867073059,-0.3
-2.780426502227783,-3.41
-0.5359451770782471,-1.44
15.22787094116211,13.75
2.0795445442199707,-3.2
-3.013155937194824,-5.32
-1.9305751323699951,-3.14
-1.9821573495864868,-4.04
-1.783661961555481,-1.29
-0.1621556282043457,0.62
-1.6585853099822998,-0.07
-1.0636405944824219,-4.36
3.6693100929260254,1.34
5.049813747406006,-1.17
1.9488290548324585,12.41
-2.3331122398376465,-1.21
-0.373681902885437,-0.61
5.586523532867432,15.85
2.2583601474761963,9.24
-2.256441593170166,-0.09
2.244457960128784,-0.82
1.228566288948059,-4.19
8.33344841003418,-2.76
-1.5176196098327637,1.19
5.872838973999023,2.68
-4.646040916442871,-0.88
0.8405038118362427,-5.85
-3.6059279441833496,2.24
